category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
food_and_drink,598.6866637276147,557.6146648605361,502.765357125006,518.9947391562362,516.0373936703656,526.8398319170392,513.071838639872,582.5481748591627,530.612786025589,548.5208013065835,557.4992455440664,533.7202643528389,570.0796127407631,503.0806477616042,504.3582380711724,513.9096119399221,541.7377239801162,732.0805916292109,566.9974811288035,544.6940533784676,527.3220776363551,508.41872414852463,577.7194878810959,509.4052240798879,508.72844286614463,562.4429500645932
conferences_and_other_events,762.0188651691833,669.719020683511,430.3260573205611,361.51177815526347,551.1438641680109,325.607259597235,351.904869832209,283.5993527242002,597.7433462052904,637.98119091804,667.9632695386096,315.3219325514185,694.2809865772027,457.20732923037536,385.4851445238329,547.8092426588497,301.4191845360786,995.9268864189812,305.7986965721862,306.78793532245726,327.0757305318997,449.5034515675,715.5154942103557,522.4511948447786,518.6740436211307,683.4109692921916
gaming,895.202197377524,886.7807524611834,932.655630470506,984.6412028156544,891.1188390309231,1010.2808889420237,980.7381580098278,1097.1382836561042,886.8307017735384,887.789897570252,890.3498336249014,1024.6881147059712,894.6989081046098,920.0313047578616,952.4451684326992,892.4207783000903,1039.345263635488,954.9599996246606,1073.6952687442645,1042.55853838101,1008.8158775831065,932.2580974242477,891.4450768743662,895.9252611604886,896.0198305012723,886.7738988138692
literature,785.3581262050348,680.8913093243879,383.898102539919,285.112783804971,535.3980132495765,249.65014957579513,281.4158159273057,230.5025171854342,590.1378686268138,638.866410971153,680.1794052190669,236.51568907692683,711.030305025829,414.43606761106383,320.9883400786493,530.3237652386736,227.77316877674392,1038.037546932898,194.82187441115633,228.07632443533083,254.78616038919557,412.5424907585629,734.9403450144929,498.9876222933833,492.4793453558916,694.3590225045666
business,781.2148133433311,694.7086078732,465.6717885070452,387.55779950076607,583.4112475555232,348.91891091899095,381.56670777165806,307.4556747649511,626.6527062882249,666.334597095879,691.3210911838598,336.6090448274395,715.2371115512212,492.8053021074664,422.35515816855786,580.0572947493636,326.5628523848599,1005.8660101793337,325.438903279609,322.5485206837296,350.6778708892972,483.1311375841178,736.8286564711344,556.548611181506,553.8570684834891,706.6634486728583
the_mainstream_media,704.4536581417248,609.9867073223046,366.27634747004294,303.2036758096888,488.87162660142684,274.6347450072339,295.16715475670344,282.2700901312051,536.3466668759212,577.6047554781688,607.1874504626428,272.5484785850243,634.0800518567771,394.3497084405615,328.2788973991651,485.6104573103434,270.11302622390514,941.6639404773699,291.2536750390317,265.9358899020619,273.07528449965304,379.9224643817951,657.5128096066749,460.10608427341697,457.0610353129589,623.9299359791528
autos_and_vehicles,442.3306744026987,354.1934474594877,211.56464599877907,246.56428901240255,256.79068832952674,275.20099387016654,243.0089960969269,392.21325366346497,299.5701617361489,340.3898792003391,342.7723418529241,296.59243369713033,362.537469546345,215.91967330882275,239.29066924957402,252.92203117940485,320.67944099694967,684.6571871999057,372.04808113102445,313.97579487482824,273.2557415245236,201.76002022768827,391.7237954687647,238.45651121180862,245.27229085687833,367.29494296204757
comedy,792.3303772207338,766.9727569077576,748.6137971017816,773.0023760563338,745.3840728965049,786.205832447443,770.0067169993497,836.4087693877117,753.4624530689184,763.7929214341522,767.6464296591381,794.9987205483159,775.4502802127101,746.0028029747278,760.4814732695091,745.9326711680905,803.6365244431398,873.3659570603462,833.8563933180662,805.4683163771015,786.0637016747413,750.8612882914512,778.5355707305886,743.1060758230964,744.0853566174079,770.4307671159978
default_category,813.0540238650849,751.8605840896284,619.5434137457174,599.449701911118,678.0538028263206,592.0972191771585,593.986882307909,615.3494885654468,705.1382071058885,731.4868725825959,751.8929997716543,592.3755618000943,770.3099789072378,630.687100858913,602.4016288231995,676.4102325665566,594.254524629592,984.2968862606334,606.9485360168476,595.4257393589637,593.096663580532,631.4628727126938,782.8821641646758,662.172751512092,660.1223717695839,760.0407412266015
videoblogging,690.1406907520194,631.3640344524437,530.980869918535,533.4205420155561,564.5307657324621,533.6157383594051,525.3375085331382,578.5703532029586,585.0674867343514,606.8298591327572,635.2208184048123,537.8673900942097,654.8506140005273,536.4201893883826,518.3701128448802,563.5611021305587,543.3641587992751,863.779500731618,563.2060393874332,546.6879625820733,533.4716948633219,541.9373495924805,663.8470145024409,552.8975282506602,548.3030397565974,637.7944312960283
documentary,708.528111570479,683.803734737273,664.7264470044286,687.3396955103739,663.8407467555994,697.7708796967961,681.2207320984186,761.0968368056964,670.3343941146044,679.0498276761786,686.5074625822757,706.397887126598,694.546701029239,663.1423082807443,667.0423726253597,664.4557481972402,715.6619310714369,806.0623301952172,742.7220899571845,718.5044628888962,696.7857974727251,669.4380047569117,695.6674117496754,661.2565469248344,660.2107435105443,686.4952972219032
