category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
the_environment,5,1,0,38,4,16,2,5,0,8,1,0,4,24,0,8,19,0,1,556,6,0,3,21,4,0,18,6,0,7,49,0,6,1,3,1,1,0,1,14,22,18,5,11,6,1,5,1,13,0,0,0,2,11,2,488,8,5,0,2,0,78,2,3,1
school_and_education,10,2,0,2,7,9,4,1,5,1,12,2,0,5,6,16,26,0,0,0,0,2,1,36,9,13,17,1,0,15,4,1,10,9,17,3,0,4,3,3,8,13,6,9,19,1,69,0,24,12,1,26,10,0,16,0,2,16,5,2,3,6,8,10,4
health,53,27,0,25,14,27,4,52,4,23,59,1,24,9,15,6,21,92,0,2,1,17,1,47,16,7,16,10,17,10,225,25,34,0,4,25,11,152,27,22,6,330,27,5,3,3,23,1,2,32,17,11,15,52,30,376,28,6,56,15,3,11,9,14,5
citizen_journalism,42,46,0,3,35,58,3,230,35,146,89,127,15,17,44,62,39,192,6,3,2,147,40,56,34,12,22,25,4,44,385,97,71,44,36,20,5,192,106,256,16,142,38,90,29,65,35,0,24,76,10,50,47,127,32,149,55,63,24,87,10,17,29,44,34
personal_or_auto-biographical,5,0,0,12,0,4,0,0,2,1,0,0,0,2,6,6,21,1,0,0,13,2,6,9,0,1,7,1,2,2,5,1,35,0,16,1,0,1,5,8,20,11,1,1,7,0,15,3,6,7,5,1,1,0,2,1,0,4,2,0,0,5,3,15,0
food_and_drink,14,9,0,26,10,49,3,9,4,3,6,0,4,93,2,24,50,1,0,12,7,2,24,31,7,4,26,1,1,56,21,2,23,4,16,1,0,3,9,20,88,32,22,0,26,2,9,10,14,4,1,6,11,5,8,71,7,11,1,0,2,122,32,36,4
conferences_and_other_events,4,11,0,15,32,36,44,59,29,26,23,16,2,31,19,19,23,50,0,1,8,52,0,41,13,87,17,0,6,25,229,57,67,73,10,47,2,9,40,150,19,41,24,9,1,13,14,9,2,43,24,14,18,9,9,55,12,5,25,25,4,27,18,24,4
gaming,88,48,0,22,16,79,6,144,89,13,20,10,2,42,13,99,29,6,7,11,38,41,102,17,18,9,88,8,25,39,123,36,95,8,114,10,2,7,59,66,95,25,40,12,38,21,67,9,13,41,95,26,42,7,49,25,7,21,57,3,13,60,32,50,5
literature,1,3,0,40,0,4,1,5,4,0,0,0,0,0,0,1,2,0,0,0,1,1,61,0,1,0,3,0,22,3,3,0,0,1,1,0,0,0,0,12,8,0,0,0,2,0,0,0,0,0,49,0,2,0,0,13,0,0,0,0,2,7,0,2,0
business,11,12,0,13,21,13,18,20,5,1,3,1,2,18,10,1,11,6,0,2,6,6,2,49,0,5,1,29,18,6,33,6,39,14,5,15,8,9,14,49,19,44,11,4,9,5,8,1,23,8,16,11,1,3,9,112,6,5,2,4,1,12,10,4,0
the_mainstream_media,27,8,0,10,1,25,8,13,23,45,31,9,12,22,8,26,9,17,3,8,4,55,3,59,12,0,9,2,10,12,183,14,52,7,40,3,11,7,30,369,17,72,3,3,3,47,15,15,1,7,6,10,12,20,7,121,73,1,19,36,6,10,15,13,28
autos_and_vehicles,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,0
comedy,144,20,0,15,10,127,6,70,28,8,12,22,1,48,12,226,40,28,8,31,53,8,78,63,28,1,46,3,20,133,109,11,75,40,204,6,2,15,32,55,107,62,18,10,38,19,95,32,11,63,21,86,42,24,15,176,22,15,18,8,7,58,59,62,18
default_category,384,48,2,163,113,212,173,242,114,174,62,74,85,176,101,347,181,205,39,42,134,246,151,208,84,110,220,72,65,187,631,211,253,286,404,315,55,110,141,375,235,291,124,90,98,72,394,472,209,241,93,123,154,59,204,494,71,140,62,135,39,221,79,200,52
videoblogging,124,7,1,47,20,67,13,11,21,9,13,17,9,60,30,81,100,24,26,14,40,8,107,44,11,4,38,20,48,83,42,8,98,50,89,32,5,32,25,39,80,47,22,38,27,34,107,2,40,16,53,27,37,17,57,210,45,25,20,15,12,40,41,63,29
documentary,140,64,0,10,14,92,1,150,45,44,40,65,25,40,32,114,32,57,11,10,36,66,24,26,66,12,17,5,18,90,38,59,87,12,148,0,2,65,81,22,28,23,88,36,31,47,144,12,4,116,30,43,97,44,60,121,52,13,55,34,24,35,34,60,36
