category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
personal_or_auto-biographical,0,0,13,0,1,11,0,26,1,0,1,13,2,2,10,0,8,0,28,5,1,1,5,0,15,7,1,12,7,2,1,1,8,13,11,0,1,0,2,3,1,5,5,0,24,5,1,0,0,0,13,0,1,6,0,3,1,1,2,5
food_and_drink,3,6,18,0,10,32,18,1,10,11,1,31,1,7,118,9,22,0,25,35,14,0,6,0,50,12,1,32,19,73,7,2,127,15,56,0,6,12,1,13,35,2,76,6,27,16,0,8,9,3,13,2,6,60,4,0,4,11,12,3
conferences_and_other_events,2,3,21,21,10,9,4,19,92,7,0,29,0,98,33,9,30,0,0,2,4,29,76,15,39,46,57,59,14,31,22,15,29,11,3,0,10,88,5,48,257,12,52,13,22,143,19,18,15,16,12,4,123,23,7,41,3,28,17,6
gaming,6,1,2,10,22,27,22,60,9,49,8,86,13,66,81,28,6,0,140,23,5,5,29,7,296,132,5,55,50,23,9,12,69,59,33,0,17,26,13,90,125,114,47,9,26,60,14,15,59,16,53,14,128,69,6,30,12,42,22,47
literature,0,3,0,0,1,6,0,0,6,0,0,5,8,5,2,0,7,0,43,0,0,0,0,1,2,2,0,0,4,9,0,30,5,2,1,0,0,1,1,0,2,56,3,0,34,6,0,1,3,0,1,0,3,2,0,0,0,0,0,0
business,0,2,35,1,2,16,4,20,55,1,29,18,5,16,27,3,54,0,4,9,2,8,15,16,27,12,10,35,3,61,3,5,18,3,23,0,7,14,0,85,43,29,9,3,19,45,4,2,14,1,5,4,23,7,3,18,2,12,9,2
the_mainstream_media,30,13,96,9,10,6,8,29,120,9,2,20,4,69,23,6,215,0,3,5,5,53,20,16,87,26,17,59,5,15,25,12,11,9,3,0,84,13,7,18,139,4,18,23,9,199,4,9,14,0,4,41,16,14,31,15,26,2,3,14
autos_and_vehicles,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,3,0,6,0,0,4,0,0,0,1,1,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,29,1,69,25,37,28,56,30,120,33,1,92,16,49,84,28,38,0,85,44,11,11,39,28,565,51,28,73,24,89,15,35,68,39,45,0,22,68,5,32,89,16,96,22,26,47,18,20,29,3,54,9,98,184,9,19,16,11,33,12
default_category,52,51,322,73,62,163,78,155,733,130,72,292,61,368,277,101,174,5,184,79,32,177,160,305,1380,264,247,255,120,252,187,72,327,123,207,1,79,168,57,136,764,111,196,67,216,450,98,84,82,38,166,52,488,304,29,85,31,134,54,117
videoblogging,27,12,40,17,22,65,27,74,157,19,21,85,52,26,84,18,42,1,113,31,13,17,7,37,325,19,36,59,25,63,16,36,60,41,31,0,53,28,16,45,61,76,68,23,94,26,40,11,17,4,50,31,19,107,12,47,25,25,24,1
documentary,30,14,4,65,25,11,19,69,95,16,5,88,16,128,73,73,13,0,21,11,20,52,17,8,464,128,85,32,24,39,56,43,23,21,6,0,69,17,26,78,52,45,70,54,33,26,48,60,86,29,40,34,217,139,16,45,26,78,28,71
