category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
the_environment,37,1,4,7,1,24,0,4,9,10,0,1,12,16,9,0,12,1,8,2,5,1,7,13,3,3,43,5,6,9,477,25,25,1,11,0,1,0,7,0,21,4,1,20,0,8,1,0,11,3,6,535,4,68,0,1,7,4,22,1
school_and_education,8,8,16,12,16,6,0,21,4,9,0,6,91,22,7,6,12,8,0,0,9,12,1,0,9,13,4,3,9,3,0,14,17,11,0,1,0,2,20,4,16,0,0,21,2,6,12,4,15,1,2,0,7,10,12,9,5,10,7,3
health,10,58,28,6,22,3,0,12,46,15,0,30,76,15,21,4,11,11,0,0,8,65,1,55,69,14,123,12,379,58,95,13,3,16,286,29,0,1,24,8,21,0,5,18,208,8,39,14,10,81,10,0,29,6,24,12,0,18,73,2
citizen_journalism,23,37,46,12,6,4,0,44,103,49,4,61,137,71,283,27,10,6,14,38,146,90,2,137,269,23,416,31,22,285,142,23,23,70,34,9,3,129,64,13,17,3,2,24,282,13,148,60,37,55,25,33,36,52,197,38,4,39,96,16
personal_or_auto-biographical,4,1,14,9,2,4,0,0,1,1,0,0,6,5,7,0,7,0,0,4,1,0,11,0,1,31,0,18,9,2,1,4,11,3,2,4,0,0,6,4,10,3,2,10,1,0,7,6,7,5,2,0,1,6,2,28,12,0,9,1
food_and_drink,41,0,25,31,5,55,0,12,10,13,0,9,28,76,17,4,17,0,7,10,1,7,9,6,6,28,30,18,17,2,10,34,55,14,75,1,0,0,56,5,26,10,1,29,1,11,12,3,62,6,1,19,16,100,7,3,18,8,25,9
conferences_and_other_events,13,38,26,10,45,12,0,74,16,17,15,16,35,47,114,2,13,14,3,0,23,23,10,13,121,5,220,16,14,41,89,18,3,50,30,8,0,21,20,7,28,0,6,18,62,6,47,5,24,71,0,3,28,18,97,51,10,20,68,17
gaming,29,29,80,27,8,48,0,26,17,48,4,59,258,51,56,7,49,1,1,93,30,20,48,9,129,81,114,30,2,14,7,25,32,90,21,17,3,10,65,16,6,36,100,12,5,48,130,47,31,29,8,21,42,38,66,75,57,17,46,34
literature,0,0,4,3,0,1,0,1,0,2,27,3,1,3,5,0,4,0,2,38,0,0,1,0,3,1,3,12,0,0,6,5,1,0,10,43,0,0,2,0,7,20,19,16,0,0,2,0,1,0,0,0,0,0,5,0,1,1,0,2
business,15,11,14,14,20,12,0,13,7,1,5,14,19,8,38,0,1,14,2,4,7,2,5,3,22,9,41,9,32,10,54,4,23,12,61,18,0,1,7,3,49,5,11,21,10,1,8,2,15,15,30,4,11,14,17,30,3,0,23,6
the_mainstream_media,7,15,20,6,33,16,0,13,90,14,12,14,82,17,191,25,3,14,13,4,43,31,3,24,16,6,117,7,103,69,118,9,3,20,15,0,2,9,14,26,205,0,9,10,17,8,27,14,8,18,5,9,2,2,67,44,9,12,44,13
autos_and_vehicles,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,11,0,0,2,0,0,6,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
comedy,68,19,79,29,19,56,0,64,27,45,21,26,525,100,50,31,23,21,2,48,28,12,52,26,98,86,79,15,64,18,102,34,49,31,88,15,1,24,155,25,35,38,12,27,29,28,52,10,27,40,1,54,15,32,47,54,42,25,47,54
default_category,88,82,247,155,202,111,1,145,95,168,59,76,941,195,365,70,105,294,54,124,148,61,149,71,485,505,673,140,301,321,714,159,204,140,245,63,14,72,285,69,131,110,60,159,270,126,265,117,158,152,75,79,133,179,367,209,122,85,252,102
videoblogging,41,44,73,60,5,54,0,18,55,35,40,16,246,66,28,31,24,29,11,78,68,13,39,23,19,129,44,64,38,29,152,49,33,45,61,63,7,17,97,40,49,37,16,52,38,19,19,2,36,6,21,29,26,22,26,95,43,12,47,42
documentary,23,44,71,8,3,22,0,12,78,100,20,86,436,79,27,31,15,2,13,12,79,43,38,56,217,43,41,30,4,83,91,24,6,75,36,23,11,64,129,41,15,35,28,13,96,13,124,59,45,17,5,18,84,5,120,81,21,70,19,43
