cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
34,7,43,1,2,8,8,4,11,4,36,0,19,1,1,3,2,0,8,1,3,2,0,22,33,11,6
35,2,1,2,3,5,13,4,4,2,0,1,2,0,9,1,5,1,3,0,3,0,0,0,12,2,0
36,2,11,0,53,9,18,7,0,0,0,4,5,1,3,0,0,3,1,0,5,7,0,6,21,5,1
37,3,4,2,2,8,2,2,0,3,10,0,0,0,4,2,0,0,15,0,0,1,0,6,10,8,0
38,0,2,0,0,1,0,1,1,0,3,1,0,0,2,0,0,1,4,1,1,2,0,0,7,3,1
39,2,0,3,5,5,3,7,1,0,4,1,1,18,2,2,2,0,0,0,1,0,4,4,11,3,0
4,0,1,0,29,4,3,3,0,1,1,0,1,1,4,1,0,1,1,18,2,0,0,0,13,4,1
40,3,3,0,0,2,7,4,1,0,10,3,5,0,0,1,2,4,3,1,1,2,0,1,10,2,1
41,2,2,0,10,2,9,4,1,0,2,1,0,1,3,1,1,1,5,4,0,2,0,0,8,3,0
42,2,0,0,1,4,2,2,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,8,1,3
43,0,0,0,0,3,3,0,0,1,4,0,2,0,1,0,0,0,0,0,1,2,0,0,12,4,1
44,2,0,0,0,0,7,1,0,0,3,1,0,0,0,4,0,3,1,1,2,2,0,0,7,3,2
45,0,2,0,1,4,3,2,0,3,2,1,0,1,0,1,3,0,4,1,0,0,1,6,12,4,4
46,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
47,3,1,2,3,2,11,15,1,1,4,1,1,0,1,1,0,1,2,1,0,1,0,0,16,5,1
48,0,0,0,0,0,6,5,0,0,4,0,2,1,1,6,0,0,1,0,2,0,0,0,8,3,2
49,0,0,0,4,0,1,0,0,0,0,2,11,0,0,0,0,1,0,0,2,1,0,0,8,1,0
5,1,8,2,19,4,15,19,1,0,3,3,14,1,3,0,1,2,0,2,4,4,0,8,18,3,3
50,1,0,10,0,0,24,41,6,0,0,0,3,0,0,0,0,4,1,0,3,3,0,0,16,0,1
51,1,3,0,2,0,1,2,0,0,1,1,0,0,2,1,1,0,0,11,0,0,0,1,4,10,5
52,10,8,0,0,14,5,6,2,2,25,0,0,1,1,2,3,0,2,1,0,0,0,5,23,15,3
53,2,0,0,1,1,9,5,1,0,5,1,3,1,3,2,2,2,0,0,1,1,0,1,18,3,3
54,8,11,1,1,12,3,9,2,2,12,2,2,6,1,4,8,0,5,3,2,0,0,11,21,17,4
6,0,0,0,12,7,2,0,0,0,0,0,0,1,0,0,1,2,0,4,2,0,0,2,11,1,2
7,1,2,1,2,2,3,12,1,0,1,0,68,0,0,0,0,1,0,0,1,2,0,2,6,3,1
8,1,3,0,2,1,2,1,1,0,5,0,7,1,0,0,0,1,0,1,1,0,0,0,6,2,2
9,3,2,0,0,0,1,1,0,0,13,0,0,0,0,0,0,0,1,0,0,1,0,2,2,5,0
