category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
politics,131,71,153,642,197,102,0,716,134,160,47,349,93,13,216,28,49,38,64,514,104,1322,4502,180,134,6020,450,115,1182,922,169,200,8,59,79,2,137,233,127,136,117,165,3,595,103,219,85,1782,70,37
religion,15,19,93,219,633,71,0,38,5,19,21,2,42,13,62,12,15,18,77,40,12,15,240,475,54,507,385,14,13,1357,16,44,9,1,12,0,21,36,4,88,52,21,6,311,20,32,24,273,8,5
school_and_education,12,0,25,13,11,17,0,3,0,2,6,2,10,3,22,12,5,6,11,19,3,2,9,27,8,8,94,22,9,12,2,1,0,0,18,0,18,17,0,13,10,10,1,17,7,4,6,8,10,11
sports,35,23,109,68,68,101,0,56,23,37,52,2,64,55,166,39,50,30,77,86,38,39,54,41,87,380,492,68,127,39,20,73,8,53,69,7,63,97,15,131,35,43,37,114,44,46,15,101,79,95
technology,50,17,119,149,90,156,1,115,85,58,38,33,70,18,82,82,31,73,47,284,63,111,411,272,131,1168,229,389,219,358,26,67,9,14,130,10,144,205,23,194,56,85,71,877,31,19,11,1279,208,16
the_environment,1,1,20,2,1,4,0,9,13,1,2,6,10,5,7,12,38,24,1,22,2,0,3,4,13,485,13,27,7,0,0,1,5,0,24,1,20,11,537,12,4,5,9,10,2,9,0,56,66,12
the_mainstream_media,31,26,17,29,26,20,0,70,22,8,3,6,14,12,16,13,5,18,21,213,12,18,16,29,11,147,88,5,94,67,9,4,5,12,9,4,10,13,8,76,13,43,3,202,2,89,30,153,3,2
travel,9,9,11,6,2,23,0,4,1,2,6,48,4,8,29,15,18,7,23,9,15,0,0,1,17,13,119,16,7,3,4,31,4,0,7,0,11,17,2,10,17,14,4,5,3,9,14,15,21,23
videoblogging,13,25,70,18,45,77,1,29,23,6,23,21,37,23,109,84,33,55,46,47,38,37,21,25,91,227,341,50,46,27,17,76,13,40,52,31,40,34,33,120,12,69,44,30,24,55,28,66,21,128
web_development_and_sites,1,2,39,19,12,13,0,5,1,5,6,8,7,1,7,11,3,0,4,36,1,0,25,58,22,58,25,56,37,31,0,6,0,1,14,0,12,6,1,18,6,2,1,37,1,0,0,48,11,8
