category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
literature,0,0,14,2,1,0,1,6,3,0,5,1,0,0,3,1,2,1,0,0,0,1,1,0,0,0,0,36,0,0,0,25,24,1,2,3,0,5,0,0,1,43,0,3,5,0,0,0,0,26,7,9,1,0,0,3,0,0,1,0,0,8,0,0,0,1,1,6,2,0
movies_and_television,35,154,11,174,25,74,30,203,2,16,125,152,9,151,260,193,201,1147,71,123,145,57,34,27,201,35,66,31,18,14,0,39,22,416,255,282,108,47,66,2,51,27,590,74,165,105,51,123,36,45,25,65,45,114,33,121,151,93,253,112,25,22,285,46,297,75,85,116,143,123
music_and_entertainment,34,36,8,93,211,67,133,37,16,6,175,67,24,44,169,19,113,804,25,91,30,13,7,27,16,43,28,53,29,16,0,19,22,224,16,138,122,60,39,4,30,18,80,10,96,38,19,33,22,28,12,3,29,39,63,37,51,135,535,37,26,74,33,116,94,88,25,5,30,74
personal_or_auto-biographical,5,1,2,1,11,1,10,4,13,1,2,2,0,8,10,0,4,6,0,0,8,7,5,0,3,1,1,5,1,0,0,0,8,5,0,5,1,4,0,0,2,4,6,0,3,0,1,1,10,3,7,2,1,1,0,7,0,24,23,0,5,20,1,11,1,4,0,1,1,11
politics,40,192,5,92,2,69,31,537,49,326,891,6,1,273,89,114,79,331,134,82,153,205,49,102,73,1105,88,14,8,34,0,49,139,207,1616,138,3949,76,286,428,45,198,59,160,1034,34,507,101,1108,8,551,2151,138,46,116,136,71,44,65,170,68,53,184,4,184,35,89,3452,13,88
religion,14,23,4,10,6,19,9,268,0,2,1138,11,0,127,50,52,18,295,5,23,46,36,12,9,128,9,9,2,9,2,0,0,42,95,189,56,144,9,8,312,8,40,63,14,272,7,19,17,6,3,29,7,443,21,2,21,11,37,45,15,8,29,756,8,29,19,35,188,14,112
school_and_education,5,3,0,3,0,0,2,16,2,2,10,6,0,9,15,9,10,47,0,6,2,15,15,9,8,0,5,2,0,0,0,0,19,20,3,18,6,15,0,8,14,1,11,3,14,3,4,7,8,0,17,0,19,6,0,17,5,8,48,2,10,3,10,4,2,7,3,0,3,7
sports,37,21,28,37,31,23,51,93,8,1,32,28,4,105,83,35,121,201,23,15,53,59,54,20,44,29,24,55,8,71,0,49,34,117,70,89,31,71,17,23,16,47,70,36,46,17,32,43,102,24,68,282,26,49,14,62,21,59,243,20,80,42,47,30,45,27,41,81,29,57
technology,28,21,17,60,69,17,29,829,78,30,319,28,3,391,141,53,28,114,83,10,27,189,242,42,96,98,51,15,9,19,1,11,120,76,1010,83,273,120,20,91,120,51,34,59,259,11,96,31,190,12,248,33,238,35,18,139,37,85,84,26,208,49,74,34,13,72,43,1048,11,125
the_environment,34,5,1,0,7,1,2,9,9,6,0,1,1,23,4,4,8,7,13,0,1,11,20,1,1,0,5,5,5,5,0,0,17,3,42,16,3,24,1,1,4,0,1,1,2,0,3,2,6,4,18,11,3,2,535,20,0,2,6,0,65,6,0,6,9,24,7,477,0,7
the_mainstream_media,6,20,9,10,3,26,1,190,2,1,62,7,3,56,17,12,5,58,22,25,14,9,3,1,8,17,4,3,5,18,0,12,9,18,123,15,7,9,8,14,5,0,16,8,27,31,49,1,86,0,214,15,18,3,8,9,41,28,22,9,2,8,27,9,85,17,11,118,6,42
travel,17,4,1,14,3,9,9,5,0,47,3,5,0,4,19,4,10,51,1,14,1,17,15,4,3,0,4,13,4,19,0,0,5,36,13,10,0,5,0,1,4,30,21,2,4,5,0,3,6,14,9,14,0,6,1,11,10,5,47,4,17,10,2,13,9,7,2,1,3,6
videoblogging,26,14,16,35,41,24,59,24,69,20,25,17,7,48,69,11,42,196,23,28,8,37,19,4,22,30,45,73,13,10,1,38,39,94,41,58,15,47,12,28,24,63,44,6,17,11,14,25,37,39,30,60,21,23,22,39,30,73,123,17,21,44,39,24,54,54,23,151,12,53
web_development_and_sites,3,3,1,1,1,2,7,34,46,7,28,0,0,29,10,6,0,7,1,0,4,4,10,1,27,0,2,7,0,2,0,0,17,11,34,25,20,13,0,49,5,5,3,5,21,0,3,1,30,2,30,7,37,6,1,12,1,5,13,0,11,11,9,7,0,0,7,2,1,18
