category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
gaming,25,36,57,51,28,29,1,28,9,0,0,18,93,118,82,61,3,22,68,50,37,41,5,63,19,8,63,6,5,10,15,143,7,12,88,7,51,22,129,49,244,15,19,1,2,3,20,66,114,5,31,16,58,10,21,23,21,4,42,15,23,31,96,49,14
health,25,14,24,77,37,0,11,11,56,0,0,5,16,124,31,72,0,9,26,8,4,0,0,0,8,10,12,28,191,13,0,45,95,53,47,0,4,1,74,12,42,38,5,0,405,0,65,25,34,2,11,8,30,1,287,0,7,31,29,18,4,2,0,16,2
literature,32,1,5,0,1,24,0,0,0,0,0,4,0,3,4,0,0,0,2,0,1,0,0,0,0,0,0,7,0,0,1,2,6,0,1,24,1,6,3,4,1,0,3,2,0,0,0,5,56,0,1,0,3,0,7,0,1,0,0,1,0,2,38,3,0
movies_and_television,35,76,206,156,55,43,2,116,72,0,0,6,375,261,293,640,10,53,427,67,64,19,18,66,112,16,90,27,49,7,153,217,116,190,293,39,75,2,156,71,1321,296,12,7,31,5,125,144,37,124,59,65,183,113,64,40,79,69,124,192,17,211,28,342,156
music_and_entertainment,139,26,37,47,30,33,4,73,25,2,0,23,43,14,204,94,28,43,228,10,20,196,29,124,37,6,137,13,50,2,50,70,5,63,614,19,88,29,171,29,892,93,22,4,22,20,65,180,26,92,14,27,35,37,4,66,60,24,33,20,21,103,50,130,63
personal_or_auto-biographical,24,0,4,7,1,4,0,11,0,0,0,14,2,0,16,6,0,4,7,0,5,11,1,14,2,2,25,7,1,1,1,9,1,1,27,0,4,0,2,7,7,1,5,0,10,0,0,3,5,0,7,1,0,0,2,0,6,1,1,0,3,1,5,6,0
politics,105,87,546,250,151,9,429,96,135,0,0,65,200,1581,107,66,2,45,195,94,73,3,8,12,45,349,44,535,1236,175,6,633,3453,333,76,59,37,51,4485,57,419,183,15,26,1030,0,131,905,194,84,211,88,166,170,2151,125,79,529,103,112,41,108,14,160,97
religion,51,29,281,116,456,3,315,115,5,0,0,1,661,193,69,76,0,12,61,8,15,4,9,11,21,2,41,33,14,11,20,215,188,23,54,0,18,1,238,14,338,29,0,0,8,0,16,1284,44,24,36,9,31,16,7,4,21,22,20,51,7,13,2,89,14
school_and_education,7,3,17,6,23,0,8,9,0,0,0,3,11,2,16,11,0,9,22,6,24,0,0,7,6,2,8,18,0,5,7,13,0,3,56,0,6,8,9,14,47,2,1,0,7,0,12,12,1,6,18,4,5,2,0,0,5,4,7,10,9,3,2,25,5
sports,78,40,96,107,33,32,22,56,23,0,0,14,69,66,103,75,4,48,161,31,61,17,8,34,52,1,61,70,35,21,29,67,81,25,261,63,29,45,50,34,254,45,29,65,93,1,36,38,61,15,59,26,63,20,283,15,53,38,44,35,49,37,60,110,20
technology,128,41,803,276,249,13,91,135,84,1,0,89,91,644,156,46,3,68,77,81,337,67,9,49,37,30,86,246,103,584,21,148,1048,31,97,11,73,88,403,78,139,16,2,18,136,19,49,335,67,11,192,52,64,26,33,23,37,100,30,48,179,59,13,115,39
the_environment,14,4,9,21,3,4,1,7,13,0,0,10,1,41,4,1,1,64,8,8,20,3,5,8,2,6,2,19,0,3,1,2,477,4,5,0,24,8,3,13,8,9,1,7,6,6,1,0,0,0,11,5,1,0,12,537,38,5,2,4,25,1,4,15,0
the_mainstream_media,10,7,196,51,18,0,14,41,22,0,0,4,25,129,25,22,3,7,15,9,4,2,5,9,3,2,30,210,21,4,5,29,118,26,23,12,17,3,16,5,72,84,0,12,84,8,31,67,4,30,8,5,14,9,15,7,12,52,2,9,3,15,3,18,41
travel,12,2,5,5,0,10,1,6,1,0,0,2,2,11,23,23,0,4,27,9,16,0,4,14,6,47,4,9,0,3,5,5,2,4,62,0,8,2,0,15,62,9,15,5,5,0,10,3,31,14,17,4,4,4,15,2,19,0,3,4,12,15,12,11,11
videoblogging,81,19,24,44,21,48,29,60,23,1,0,75,44,40,81,45,13,33,99,19,23,37,13,35,23,21,75,33,36,9,17,18,152,16,152,37,54,10,20,25,224,54,21,11,34,9,13,25,76,27,36,45,16,17,60,28,37,17,24,11,15,42,77,67,30
web_development_and_sites,18,7,33,15,50,3,49,21,1,0,0,48,13,19,13,4,0,4,7,5,12,1,0,9,6,8,4,33,0,49,0,19,2,1,17,0,0,8,25,9,8,0,2,2,11,0,1,29,6,0,4,2,5,0,7,1,4,4,1,6,10,1,7,39,2
