category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
literature,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,59
movies_and_television,5,2,0,1,0,0,2,0,0,7,2,0,0,1,1,0,0,13,2,0,2,0,0,0,1,0,0,8,3,1,0,5,25,3,0,5,25,8,8,28,0,1,2,0,0,1,61,3,0,0,0,2,0,0,0,9,0,1,1,33
music_and_entertainment,8,21,0,0,0,0,3,0,0,5,11,0,0,0,0,5,0,15,0,0,1,0,2,0,0,0,0,4,2,2,0,1,27,1,0,1,13,23,10,7,1,0,3,0,1,3,42,0,0,0,0,0,0,0,0,25,0,0,0,85
personal_or_auto-biographical,0,3,0,0,0,0,1,1,0,2,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,9,0,0,0,10
politics,1,3,0,0,0,0,0,12,0,6,0,13,18,0,2,3,0,22,17,0,50,0,6,2,1,0,0,7,9,0,0,4,4,3,1,11,16,1,0,1,0,0,1,4,2,4,16,144,16,3,0,6,0,4,1,112,1,0,12,56
religion,1,16,0,0,0,0,0,1,8,3,5,7,2,0,1,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,32,37,0,0,3,6,0,0,0,0,0,1,0,0,1,58,0,0,0,0,0,0,0,0,14,1,0,0,34
school_and_education,0,3,0,0,0,0,3,1,0,2,0,1,0,0,1,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,1,0,0,0,5
sports,5,8,0,0,0,0,1,4,0,4,3,3,0,1,0,0,1,9,1,1,17,0,3,0,1,0,0,7,4,0,1,1,16,1,0,1,1,6,2,1,2,0,0,1,2,8,22,10,0,2,0,2,0,0,0,6,0,0,0,41
technology,2,13,0,1,0,1,3,19,0,16,2,25,7,0,8,8,0,63,2,0,10,0,2,7,0,1,2,3,6,1,0,2,37,0,0,9,9,15,1,0,0,0,0,7,3,7,37,2,0,3,0,3,0,0,0,19,0,0,0,51
the_environment,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,1,4,1,0,2,1,0,0,0,0,0,0,0,10,0,0,0,3
the_mainstream_media,1,1,0,0,0,0,2,7,0,0,3,1,0,0,3,0,0,21,0,0,7,0,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,1,0,0,1,1,0,0,0,2,14,3,0,0,0,0,1,0,0,10,0,0,0,4
travel,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,3,0,2,0,0,0,1,0,0,0,1,2,0,0,7,0,0,0,2,2,1,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,12
videoblogging,1,15,0,0,0,0,2,1,0,12,6,1,0,0,2,1,0,15,2,0,10,0,1,2,1,0,0,7,1,0,0,1,19,1,0,0,4,11,1,0,1,0,2,0,3,1,17,1,0,0,1,0,0,0,0,31,1,0,0,68
web_development_and_sites,0,0,0,0,0,0,0,1,0,6,0,9,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,4
