category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
the_environment,2,21,11,5,1,0,8,3,1,9,0,4,6,0,3,8,0,3,2,0,0,1,0,6,19,6,1,5,1,2,17,1,2,3,477,41,1,15,35,0,0,1,4,6,4,7,535,0,6,5,5,83,0,5,3,20,9,1,19,7,0,10,5,11,8,1,13,24,5,0
school_and_education,6,6,15,13,0,0,6,6,0,17,10,14,3,1,9,10,6,17,13,0,0,3,6,2,17,6,6,4,11,8,24,9,7,18,0,2,4,19,6,12,1,3,3,7,1,74,0,3,0,9,0,15,2,14,0,22,1,0,16,6,3,6,1,0,3,8,0,7,5,0
health,8,79,9,7,5,1,0,13,4,21,28,28,11,1,74,9,1,28,44,193,0,29,2,10,28,5,0,26,13,10,26,63,29,32,95,122,51,12,6,25,28,1,52,12,27,40,0,2,0,8,0,12,1,37,0,4,1,0,16,405,1,3,18,286,15,11,56,4,17,0
citizen_journalism,15,109,36,22,2,4,7,16,22,270,70,38,30,25,272,29,11,66,159,249,0,46,30,25,8,1,6,122,72,35,26,74,36,55,141,415,20,66,7,196,6,16,187,33,86,46,31,20,13,146,4,70,104,76,30,29,2,3,21,20,16,3,34,34,45,5,134,4,31,1
personal_or_auto-biographical,1,7,7,28,2,0,14,1,1,4,6,10,22,0,2,4,0,4,9,1,0,0,0,1,7,5,2,1,3,25,7,0,1,2,1,0,1,5,5,2,4,0,1,11,0,6,0,1,0,1,1,3,0,5,6,5,13,0,7,10,0,13,1,2,0,0,0,4,0,0
food_and_drink,11,23,60,15,1,0,18,3,4,12,5,21,17,1,6,35,6,36,13,1,0,9,3,1,21,38,2,0,11,1,28,2,11,9,10,27,0,70,33,7,1,11,6,29,0,17,18,1,6,1,14,90,0,23,12,54,13,0,29,18,4,29,6,73,12,0,6,55,2,0
conferences_and_other_events,16,83,24,0,6,15,11,57,3,127,26,22,16,2,143,13,3,15,58,59,0,13,2,0,27,11,6,28,41,22,22,16,28,78,89,189,28,48,2,94,6,17,22,58,3,17,2,3,3,23,4,20,20,15,0,11,11,0,18,10,7,0,8,30,12,14,13,12,19,0
gaming,19,47,32,110,96,7,61,10,11,56,63,72,29,3,128,27,2,64,140,6,0,47,6,8,6,35,14,3,85,61,14,16,41,27,7,117,14,51,22,66,18,24,12,34,7,93,23,15,1,28,5,38,8,178,42,37,49,6,94,2,4,18,10,21,37,1,7,51,16,0
literature,0,0,1,5,19,24,0,0,0,5,0,3,11,0,3,2,0,1,2,0,0,3,0,0,7,7,1,0,0,0,18,0,0,1,6,3,0,3,0,5,43,2,0,0,0,1,0,1,1,0,0,0,0,1,49,1,1,0,3,0,0,7,0,12,1,0,0,1,1,0
business,8,20,15,0,10,5,4,15,2,45,3,14,6,0,26,3,0,6,8,10,0,12,0,30,48,3,0,8,12,18,23,1,11,15,54,39,10,8,8,17,19,6,4,26,0,14,4,2,2,7,2,14,1,11,7,26,5,0,2,30,3,12,5,61,1,14,3,12,0,0
the_mainstream_media,3,54,8,2,9,12,9,3,26,192,16,19,7,10,16,5,3,17,27,23,0,8,25,1,213,2,9,49,24,30,12,1,1,16,118,135,9,14,5,64,0,11,20,40,49,27,8,6,12,42,5,9,1,52,1,4,2,3,9,76,31,4,47,15,12,14,22,17,11,0
autos_and_vehicles,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,6,0,0,0,0,0,0
comedy,29,55,25,70,9,32,49,8,14,42,25,74,13,10,104,78,7,156,52,33,0,21,28,1,35,16,8,10,31,34,27,4,11,67,103,75,10,94,43,47,7,54,13,60,2,168,52,7,1,27,11,55,16,337,49,57,52,1,47,63,9,13,21,87,41,21,22,60,21,0
default_category,47,218,158,134,58,58,137,313,28,410,125,225,134,22,503,121,32,294,293,257,1,47,50,72,175,152,65,167,139,160,159,37,134,163,714,565,57,190,69,366,59,94,181,184,41,591,79,48,49,143,32,199,53,676,143,188,150,24,229,197,25,154,60,244,124,291,67,114,58,1
videoblogging,23,44,36,97,16,37,34,9,23,25,19,65,62,16,20,44,5,96,20,36,0,6,27,21,31,30,17,17,42,75,51,4,25,20,151,40,31,62,31,24,63,36,16,55,9,124,24,12,11,67,13,33,6,165,68,26,42,16,39,34,11,77,45,60,25,28,23,54,6,1
documentary,22,26,44,15,27,20,24,2,25,25,65,68,30,42,215,65,26,110,132,87,0,60,28,5,10,33,25,49,75,69,14,31,78,16,91,40,32,67,9,123,23,41,56,22,21,178,17,28,12,78,20,12,56,217,23,7,39,11,17,2,13,5,49,36,81,2,54,25,57,0
