cluster,category,precision
1239,school_and_education,1.0
438,sports,1.0
439,conferences_and_other_events,1.0
436,videoblogging,1.0
437,conferences_and_other_events,1.0
434,travel,1.0
435,citizen_journalism,1.0
432,the_mainstream_media,1.0
433,comedy,1.0
430,documentary,1.0
431,food_and_drink,1.0
238,autos_and_vehicles,0.5
239,politics,0.5
234,comedy,0.3333333333333333
235,educational,0.5
236,food_and_drink,1.0
237,default_category,0.5
230,default_category,0.5
231,default_category,0.5
232,movies_and_television,0.5
233,conferences_and_other_events,0.5
1,conferences_and_other_events,0.18627450980392157
146,business,0.3333333333333333
147,movies_and_television,0.75
144,literature,0.6666666666666666
145,autos_and_vehicles,0.2
142,health,1.0
143,citizen_journalism,0.6
140,health,0.5
141,default_category,0.25
148,the_mainstream_media,0.75
149,travel,0.5
939,business,0.5
938,food_and_drink,1.0
933,conferences_and_other_events,1.0
932,autos_and_vehicles,1.0
931,default_category,0.6666666666666666
930,autos_and_vehicles,1.0
937,autos_and_vehicles,1.0
936,comedy,1.0
935,videoblogging,1.0
934,conferences_and_other_events,1.0
829,autos_and_vehicles,1.0
828,religion,1.0
825,videoblogging,1.0
824,default_category,0.5
827,default_category,1.0
826,movies_and_television,1.0
821,videoblogging,1.0
820,food_and_drink,1.0
823,videoblogging,1.0
822,autos_and_vehicles,1.0
1536,technology,1.0
1483,conferences_and_other_events,1.0
1482,travel,1.0
1481,art,1.0
1480,music_and_entertainment,0.5
1487,default_category,1.0
1486,videoblogging,1.0
1485,health,1.0
1484,sports,1.0
1489,travel,1.0
1488,travel,1.0
797,autos_and_vehicles,1.0
796,videoblogging,1.0
795,autos_and_vehicles,0.3333333333333333
794,default_category,1.0
793,health,1.0
792,religion,1.0
791,autos_and_vehicles,1.0
790,food_and_drink,1.0
799,religion,1.0
798,comedy,1.0
612,politics,1.0
1271,autos_and_vehicles,0.5
610,food_and_drink,1.0
1139,autos_and_vehicles,1.0
1273,the_mainstream_media,1.0
1133,food_and_drink,1.0
1274,autos_and_vehicles,0.5
1131,default_category,1.0
1130,citizen_journalism,1.0
1137,food_and_drink,1.0
1136,food_and_drink,1.0
1135,travel,1.0
1134,the_mainstream_media,1.0
1276,music_and_entertainment,1.0
1277,health,1.0
519,autos_and_vehicles,1.0
518,politics,1.0
1009,travel,1.0
1008,movies_and_television,1.0
511,educational,1.0
510,the_mainstream_media,1.0
513,travel,1.0
512,business,0.5
515,travel,1.0
514,default_category,1.0
517,web_development_and_sites,1.0
1000,music_and_entertainment,0.3333333333333333
1227,travel,1.0
1226,literature,1.0
1225,religion,1.0
620,travel,1.0
1223,default_category,1.0
626,comedy,1.0
1221,web_development_and_sites,1.0
624,conferences_and_other_events,1.0
629,travel,1.0
628,religion,1.0
1229,conferences_and_other_events,1.0
1228,comedy,1.0
2,conferences_and_other_events,0.27906976744186046
11,food_and_drink,0.425
10,health,0.288135593220339
13,food_and_drink,0.3939393939393939
12,comedy,0.25925925925925924
15,health,0.8285714285714286
14,citizen_journalism,0.675
17,citizen_journalism,0.3793103448275862
16,food_and_drink,0.36
19,citizen_journalism,0.5641025641025641
18,travel,0.28125
688,food_and_drink,1.0
201,the_mainstream_media,0.6666666666666666
200,educational,0.25
203,autos_and_vehicles,1.0
202,citizen_journalism,0.4
205,art,0.3333333333333333
204,gaming,1.0
207,autos_and_vehicles,0.4
206,religion,0.6666666666666666
209,citizen_journalism,0.6666666666666666
208,health,0.6666666666666666
685,health,1.0
684,food_and_drink,1.0
687,citizen_journalism,1.0
1570,school_and_education,1.0
681,religion,1.0
680,food_and_drink,0.3333333333333333
683,travel,1.0
682,citizen_journalism,1.0
928,food_and_drink,1.0
929,autos_and_vehicles,1.0
920,conferences_and_other_events,1.0
921,videoblogging,0.5
922,conferences_and_other_events,1.0
923,travel,1.0
924,conferences_and_other_events,1.0
925,travel,1.0
926,conferences_and_other_events,0.5
927,travel,1.0
832,food_and_drink,1.0
833,personal_or_auto-biographical,0.5
830,conferences_and_other_events,1.0
831,art,1.0
836,conferences_and_other_events,1.0
837,personal_or_auto-biographical,1.0
834,art,1.0
835,conferences_and_other_events,1.0
838,citizen_journalism,0.3333333333333333
839,art,1.0
3,citizen_journalism,0.53125
784,the_mainstream_media,1.0
785,web_development_and_sites,1.0
786,health,1.0
787,educational,1.0
780,gaming,1.0
781,travel,1.0
782,religion,1.0
783,autos_and_vehicles,1.0
788,movies_and_television,1.0
789,the_mainstream_media,0.5
60,autos_and_vehicles,0.2
61,videoblogging,0.36363636363636365
62,travel,0.4166666666666667
63,citizen_journalism,0.4
64,health,0.3076923076923077
65,conferences_and_other_events,0.42857142857142855
66,autos_and_vehicles,0.2
67,the_mainstream_media,0.18181818181818182
68,food_and_drink,0.35714285714285715
69,music_and_entertainment,0.36363636363636365
1371,technology,1.0
406,travel,1.0
405,travel,1.0
1038,politics,1.0
404,food_and_drink,1.0
508,business,0.5
509,gaming,1.0
1032,travel,1.0
507,travel,1.0
504,default_category,1.0
505,comedy,1.0
502,travel,1.0
503,web_development_and_sites,1.0
1034,citizen_journalism,1.0
402,comedy,1.0
630,videoblogging,1.0
631,travel,1.0
632,autos_and_vehicles,1.0
633,default_category,1.0
634,comedy,1.0
1217,health,0.5
1214,travel,1.0
1215,religion,1.0
638,conferences_and_other_events,1.0
639,videoblogging,0.5
1218,politics,1.0
1219,citizen_journalism,1.0
1454,conferences_and_other_events,1.0
1455,food_and_drink,1.0
1456,travel,1.0
1457,comedy,1.0
1450,art,1.0
1451,food_and_drink,1.0
1452,comedy,1.0
1453,travel,1.0
1458,autos_and_vehicles,1.0
1459,food_and_drink,1.0
464,politics,1.0
1109,the_mainstream_media,1.0
216,travel,0.5
217,conferences_and_other_events,0.3333333333333333
214,literature,0.3333333333333333
215,food_and_drink,0.5
212,citizen_journalism,0.6666666666666666
213,autos_and_vehicles,0.3333333333333333
210,school_and_education,1.0
211,school_and_education,1.0
218,comedy,0.3333333333333333
219,conferences_and_other_events,0.3333333333333333
4,the_mainstream_media,0.4225352112676056
919,art,1.0
918,art,1.0
915,web_development_and_sites,1.0
914,personal_or_auto-biographical,1.0
917,food_and_drink,1.0
916,travel,1.0
911,health,1.0
910,movies_and_television,1.0
913,web_development_and_sites,1.0
912,food_and_drink,1.0
516,health,1.0
458,web_development_and_sites,1.0
847,politics,1.0
846,religion,1.0
845,travel,1.0
844,web_development_and_sites,1.0
